Hotel name,Review Score,User country,Season,Traveler type,Review month,Review weekday,User continent
Circus Circus Hotel & Casino Las Vegas,5,USA,Winter,Friends,January,Thursday,North America
Circus Circus Hotel & Casino Las Vegas,3,USA,Winter,Business,January,Friday,North America
Circus Circus Hotel & Casino Las Vegas,5,USA,Spring,Families,February,Saturday,North America
Circus Circus Hotel & Casino Las Vegas,4,UK,Spring,Friends,February,Friday,Europe
Circus Circus Hotel & Casino Las Vegas,4,Canada,Spring,Solo,March,Tuesday,North America
Circus Circus Hotel & Casino Las Vegas,3,Canada,Spring,Couples,March,Tuesday,North America
Circus Circus Hotel & Casino Las Vegas,4,UK,Spring,Couples,April,Friday,Europe
Circus Circus Hotel & Casino Las Vegas,4,USA,Spring,Families,April,Tuesday,North America
Circus Circus Hotel & Casino Las Vegas,4,India,Spring,Friends,May,Saturday,Asia
Circus Circus Hotel & Casino Las Vegas,3,Canada,Spring,Families,May,Tuesday,North America
Circus Circus Hotel & Casino Las Vegas,2,USA,Summer,Families,June,Friday,North America
Circus Circus Hotel & Casino Las Vegas,3,Australia,Summer,Friends,June,Saturday,Oceania
Circus Circus Hotel & Casino Las Vegas,2,USA,Summer,Friends,July,Wednesday,North America
Circus Circus Hotel & Casino Las Vegas,3,USA,Summer,Friends,July,Thursday,North America
Circus Circus Hotel & Casino Las Vegas,3,UK,Summer,Friends,August,Sunday,Europe
Circus Circus Hotel & Casino Las Vegas,4,New Zeland,Summer,Families,August,Saturday,Oceania
Circus Circus Hotel & Casino Las Vegas,1,Canada,Fall,Families,September,Wednesday,North America
Circus Circus Hotel & Casino Las Vegas,4,USA,Fall,Families,September,Saturday,North America
Circus Circus Hotel & Casino Las Vegas,3,Canada,Fall,Couples,October,Tuesday,North America
Circus Circus Hotel & Casino Las Vegas,2,USA,Fall,Couples,October,Monday,North America
Circus Circus Hotel & Casino Las Vegas,4,UK,Fall,Couples,November,Saturday,Europe
Circus Circus Hotel & Casino Las Vegas,1,New Zeland,Fall,Couples,November,Monday,Oceania
Circus Circus Hotel & Casino Las Vegas,4,UK,Winter,Families,December,Saturday,Europe
Circus Circus Hotel & Casino Las Vegas,2,USA,Winter,Couples,December,Sunday,North America
Excalibur Hotel & Casino,4,Ireland,Winter,Couples,January,Monday,Europe
Excalibur Hotel & Casino,4,USA,Winter,Business,January,Saturday,North America
Excalibur Hotel & Casino,5,Canada,Winter,Couples,February,Friday,North America
Excalibur Hotel & Casino,3,UK,Winter,Business,February,Thursday,Europe
Excalibur Hotel & Casino,5,USA,Spring,Solo,March,Wednesday,North America
Excalibur Hotel & Casino,5,Ireland,Spring,Couples,March,Wednesday,Europe
Excalibur Hotel & Casino,5,Canada,Spring,Couples,April,Friday,North America
Excalibur Hotel & Casino,3,Australia,Spring,Couples,April,Friday,Oceania
Excalibur Hotel & Casino,3,Canada,Spring,Solo,May,Tuesday,North America
Excalibur Hotel & Casino,3,Egypt,Spring,Friends,May,Wednesday,Africa
Excalibur Hotel & Casino,4,Australia,Summer,Couples,June,Saturday,Oceania
Excalibur Hotel & Casino,3,Finland,Summer,Couples,June,Saturday,Europe
Excalibur Hotel & Casino,4,USA,Summer,Friends,July,Friday,North America
Excalibur Hotel & Casino,4,Kenya,Summer,Friends,July,Thursday,Africa
Excalibur Hotel & Casino,4,USA,Summer,Couples,August,Monday,North America
Excalibur Hotel & Casino,2,USA,Summer,Families,August,Wednesday,North America
Excalibur Hotel & Casino,3,Jordan,Fall,Business,September,Wednesday,Europe
Excalibur Hotel & Casino,3,Canada,Fall,Couples,September,Saturday,North America
Excalibur Hotel & Casino,3,Netherlands,Fall,Families,October,Saturday,Europe
Excalibur Hotel & Casino,4,Ireland,Fall,Friends,October,Monday,Europe
Excalibur Hotel & Casino,4,USA,Fall,Families,November,Sunday,North America
Excalibur Hotel & Casino,4,UK,Fall,Friends,November,Sunday,Europe
Excalibur Hotel & Casino,4,UK,Winter,Couples,December,Wednesday,Europe
Excalibur Hotel & Casino,3,Syria,Winter,Solo,December,Tuesday,Asia
Monte Carlo Resort&Casino,3,UK,Winter,Couples,January,Monday,Europe
Monte Carlo Resort&Casino,4,USA,Winter,Solo,January,Saturday,North America
Monte Carlo Resort&Casino,2,USA,Winter,Couples,February,Tuesday,North America
Monte Carlo Resort&Casino,4,USA,Winter,Couples,February,Tuesday,North America
Monte Carlo Resort&Casino,3,Canada,Spring,Couples,March,Wednesday,North America
Monte Carlo Resort&Casino,4,USA,Spring,Business,March,Tuesday,North America
Monte Carlo Resort&Casino,5,Scotland,Spring,Couples,April,Wednesday,Europe
Monte Carlo Resort&Casino,2,South Africa,Spring,Business,April,Tuesday,Africa
Monte Carlo Resort&Casino,4,Australia,Spring,Couples,May,Friday,Oceania
Monte Carlo Resort&Casino,4,UK,Spring,Couples,May,Monday,Europe
Monte Carlo Resort&Casino,4,Ireland,Summer,Couples,June,Tuesday,Europe
Monte Carlo Resort&Casino,4,Canada,Summer,Friends,June,Monday,North America
Monte Carlo Resort&Casino,4,UK,Summer,Families,July,Friday,Europe
Monte Carlo Resort&Casino,3,New Zeland,Summer,Couples,July,Wednesday,Oceania
Monte Carlo Resort&Casino,2,Swiss,Summer,Solo,August,Thursday,Europe
Monte Carlo Resort&Casino,3,UK,Summer,Families,August,Saturday,Europe
Monte Carlo Resort&Casino,3,United Arab Emirates,Fall,Friends,September,Friday,Asia
Monte Carlo Resort&Casino,4,Ireland,Fall,Couples,September,Wednesday,Europe
